,Split type,Tuning type,Set of features,RMSE,MAE
0,chronological,default,expanded,1.59582966909822,1.2541244197695742
1,chronological,RandomizedSearchCV,expanded,0.5938971303777169,0.3567332935354374
2,chronological,minimize_overfitting,expanded,0.6227425224524032,0.3828427760649456
3,random,default,expanded,1.4712122545274755,1.1773670320327951
4,random,RandomizedSearchCV,expanded,0.4033553704820304,0.2492593374258461
5,random,minimize_overfitting,expanded,0.4119864071567797,0.25193891561318105
